Row,Label,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
0,Variables,CPScnt1,CPSinc1,CPS2cnt,CPS2inc,IRS1cnt,IRS1inc,IRS2cnt,IRS2inc,IRS3cnt,IRS3inc,Cutoff
1,bin1,0.6,0.1,0.6,0.1,1.1,0.1,0.8,0.1,0.8,0.1,"5,800"
2,bin2,2.4,0.3,2.4,0.3,3.6,0.5,2.8,0.3,2.8,0.4,"8,500"
3,bin3,8.3,1.9,8.5,2,10.4,2.5,8.5,1.8,8.5,1.8,"15,700"
4,bin4,22.1,9.4,22.5,9.9,23.4,10.7,20.9,8.4,20.9,8.5,"30,000"
5,bin5,33.1,25.2,33.5,26.3,32.4,26.6,32.7,23.7,32.8,24.1,"54,600"
6,bin6,23.9,31.7,23.7,32.5,21.1,30.1,24.2,30.5,24.2,30.8,"100,100"
7,bin7,6.5,14.6,6.2,14.3,5.2,12.7,6.6,14.1,6.5,14.1,"158,500"
8,bin8,3.1,16.8,2.6,14.6,2.7,16.7,3.6,21.1,3.5,20.2,""
