Row,Label,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
0,Variables,Age30,Age31,Age32,Age33,Age34,Age35,Age36,Age37,Age38,Age39,Age40,Age41,Age42,Age43,Age44,Age45,Age46,Age47,Age48,Age49,Age50,Age51,Age52,Age53,Age54,Age55
36,PSECogn,7.5,7,6.2,5.4,4.6,4.3,3.9,3.5,2.9,2.6,2.4,2.2,2,1.8,1.5,1.4,1.3,1,1,0.9,0.6,0.7,0.4,0.3,0.1,-0.2
37,PSENCogn,6.6,5.9,5.3,4.6,4.1,3.9,3.3,3,2.7,2.3,2.2,2,1.8,1.6,1.3,1.3,1.1,0.9,0.8,0.7,0.5,0.5,0.4,0.1,-0.1,-0.4
38,PSEInte,9.7,8.9,8.2,7.1,6.2,5.8,5.1,4.8,4,3.5,3.4,3.1,2.8,2.5,2.3,2.2,1.9,1.7,1.5,1.4,1,1.2,0.9,0.6,0.5,0.1
39,PSENInte,5,4.5,3.7,3.2,2.8,2.5,2.2,1.8,1.6,1.4,1.2,1.1,0.9,0.7,0.5,0.4,0.3,0,0.1,0,-0.2,-0.3,-0.4,-0.4,-0.6,-0.9
40,PSEManu,5.6,5.1,4.3,3.7,3.1,2.7,2.5,2.2,1.8,1.7,1.5,1.3,1.1,1,0.7,0.6,0.5,0.3,0.3,0.2,0,0,-0.3,-0.3,-0.5,-0.8
41,PSENManu,8.3,7.7,7.1,6.1,5.4,5.1,4.4,4.1,3.5,3,2.9,2.7,2.5,2.2,1.9,1.9,1.7,1.5,1.3,1.1,0.8,0.9,0.7,0.4,0.3,0
42,PSEAgri,4.7,3.4,6.4,3.9,2.6,2.9,4.3,3.7,2.4,2.7,2.9,1.7,2.5,2.3,2.4,1.6,1.7,1.7,1.6,2,1.9,1.8,1.4,1.7,1.9,1.4
43,PSECons,6.4,5.5,4.8,3.9,3.1,2.8,2.5,2.2,2,1.7,1.8,1.6,1.3,1.2,1,0.8,0.7,0.4,0.5,0.3,0,0.1,-0.2,-0.1,-0.3,-0.5
44,PSEManf,8,7.6,7.4,5.7,5,5.7,4.5,4.1,3.8,3.8,3.8,3.5,3.1,3.2,2.8,3.1,2.9,2.1,2.5,2.3,1.8,2.1,2.2,1.8,1.9,1.4
45,PSEWhol,9.1,9,8.2,7.8,6.4,5.9,5,5.1,4.5,4.1,3.2,3.3,2.9,3.1,2.8,2.4,1.6,1.8,2.2,1.5,1.4,1.4,1.4,0.9,1,0.5
46,PSEReta,7.9,7.1,6,5.7,4.8,4.6,4,3.8,3,2.7,2.6,2.4,2,1.7,1.5,1.5,1.2,1.1,0.9,0.9,0.7,0.6,0.5,0.3,0.3,0
47,PSETran,5,4.3,3.9,3.7,3.2,2.5,3.1,2.5,2.1,2.1,1.6,1.5,1.5,1.5,1.3,1.1,1.1,0.9,1.1,0.9,0.7,0.5,0.3,0.5,0.2,-0.1
48,PSEInfo,8.3,7.2,7.5,6.9,4.9,4.8,5.4,4.7,2.6,3.7,3.3,2.6,2.6,0.8,1.7,2.1,1.1,0.8,0.9,0.5,0.3,0.6,-0.2,-0.3,0,-0.9
49,PSEFina,12.4,11.5,10.5,8.7,7.9,7.8,6.9,6.2,5.7,4.9,4.9,4.6,3.9,3.6,2.9,2.9,2.9,2.8,2.3,2,1.5,1.8,1.3,0.9,0.5,0.3
50,PSEReal,11.5,9.9,7.9,5.9,4.8,4.9,3.6,3.5,3.2,2.4,3.5,3.1,2.9,2.3,2.2,2,1.5,1.9,1.4,1.4,0.9,1.3,1.2,0.5,-0.3,-0.6
51,PSEProf,8.4,8.3,7.6,7,6.4,6.1,5.6,5.4,4.5,4,3.8,3.6,3.2,2.9,2.7,2.5,2.3,1.9,1.8,1.7,1.3,1.4,1.1,0.8,0.7,0.2
52,PSEAdmi,5.8,5.6,4.6,4.2,3.7,2.9,2.7,2.7,1.9,1.6,1.5,1.2,1,1.1,0.6,0.6,0.7,0.2,0.1,0,0.1,0,-0.2,-0.4,-0.4,-0.8
53,PSEHcare,14,11.8,10.3,8.9,7.6,6.1,5.2,4.4,3.6,2.9,2.4,2,1.7,1.5,1.1,1,0.8,0.7,0.5,0.2,0,0,-0.4,-0.7,-0.7,-1.2
54,PSEArts,8.2,7.1,5.4,5.1,4,3.9,3.5,3.3,2.6,2.2,2,1.6,2.1,1,1,0.9,0.9,0.4,0.2,0.4,0.2,0.1,0.2,0.1,-0.2,-0.6
55,PSEAcco,7.2,6.5,6.4,4.9,4.8,4.5,4.4,4,3.5,3,2.9,3.1,2.9,2.6,2.2,2.4,2.1,1.8,1.9,1.7,1.5,1.9,1.8,1.4,1.6,1.7
56,PSEOserv,4.6,4.1,3.6,3.1,2.8,2.8,2.1,1.7,1.6,1.3,1,1.1,0.9,0.6,0.4,0.4,0.3,0.1,0,-0.1,-0.2,-0.3,-0.5,-0.5,-0.8,-0.9
57,MSW,5.5,4.9,4.3,3.7,3.1,2.8,2.5,2.4,2.2,1.9,1.9,1.7,1.6,1.5,1.3,1.3,1.1,1,1,0.9,0.6,0.6,0.5,0.4,0.3,0.2
58,MSWMen,5.5,5,4.4,3.8,3.1,2.8,2.6,2.5,2.2,2,2,1.8,1.6,1.4,1.3,1.3,1.1,0.9,0.9,0.8,0.5,0.5,0.4,0.4,0.3,0.2
59,MSWWomen,5.3,4.7,4.1,3.5,3,2.7,2.3,2.2,2.1,1.7,1.8,1.6,1.7,1.5,1.5,1.4,1.3,1.2,1.1,1.2,0.8,0.8,0.7,0.5,0.4,0.2
60,MSWMarr,5.7,5.1,4.6,4,3.5,3.1,2.9,2.8,2.5,2.3,2.3,2.1,1.9,1.7,1.6,1.5,1.3,1.2,1.2,1,0.7,0.7,0.6,0.5,0.4,0.3
61,MSWNMarr,5,4.4,3.7,3.1,2.3,2,1.7,1.6,1.5,1.2,1.2,1.1,1.1,0.9,0.8,0.7,0.7,0.5,0.5,0.5,0.3,0.3,0.2,0.1,0,-0.2
62,MSWColl,6.5,5.9,5.3,4.7,4.1,3.7,3.4,3.3,2.9,2.7,2.7,2.5,2.3,2.1,2,1.9,1.7,1.5,1.5,1.4,1,1,0.9,0.7,0.7,0.5
63,MSWNColl,3.4,2.9,2.3,1.8,1.2,1.1,0.9,0.8,0.9,0.7,0.6,0.6,0.6,0.4,0.3,0.3,0.2,0.1,0.1,0.1,0,-0.1,-0.2,-0.2,-0.3,-0.5
64,MSWCogn,5.4,4.9,4.4,3.8,3.1,2.8,2.5,2.5,2.2,2,2,1.8,1.7,1.5,1.4,1.4,1.2,1.1,1,1,0.6,0.6,0.6,0.5,0.4,0.3
65,MSWNCogn,5.5,4.9,4.3,3.7,3.1,2.7,2.5,2.3,2.1,1.8,1.8,1.7,1.6,1.4,1.2,1.2,1,0.9,0.8,0.8,0.5,0.5,0.4,0.2,0.2,0
66,MSWInte,6.5,5.8,5.4,4.7,4.1,3.7,3.4,3.2,2.9,2.6,2.6,2.3,2.2,2,1.9,1.8,1.6,1.5,1.4,1.3,0.9,0.9,0.8,0.7,0.6,0.4
67,MSWNInte,3.6,3.1,2.5,2.1,1.4,1.3,1.1,1,1,0.8,0.8,0.8,0.7,0.5,0.4,0.5,0.4,0.2,0.2,0.2,0,0,-0.1,-0.2,-0.2,-0.3
68,MSWManu,3.9,3.4,2.7,2.2,1.5,1.4,1.2,1.2,1.2,1,1,0.9,0.9,0.8,0.6,0.7,0.6,0.4,0.4,0.4,0.2,0.1,0.1,0.1,0,-0.2
69,MSWNManu,6.4,5.8,5.3,4.7,4.1,3.6,3.3,3.2,2.8,2.5,2.5,2.2,2.1,1.9,1.8,1.7,1.5,1.3,1.3,1.2,0.8,0.9,0.7,0.6,0.5,0.3
