Row,Label,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
0,Variables,Age30,Age31,Age32,Age33,Age34,Age35,Age36,Age37,Age38,Age39,Age40,Age41,Age42,Age43,Age44,Age45,Age46,Age47,Age48,Age49,Age50,Age51,Age52,Age53,Age54,Age55
98,PPENManu,4.9,4.5,4.3,3.9,3.6,3.1,2.8,2.6,2.4,2.2,2.2,2.1,2,1.9,1.8,1.8,1.6,1.5,1.4,1.3,1.1,1,0.9,0.7,0.6,0.6
99,PPEAgri,3.8,3.4,3.2,2.9,2.5,2.2,2,1.9,1.7,1.7,1.7,1.5,1.5,1.3,1.3,1.2,1.1,1,0.9,0.8,0.8,0.6,0.6,0.5,0.4,0.3
100,PPECons,4.7,4.4,4,3.4,2.5,2.1,1.9,1.8,1.8,1.7,1.7,1.7,1.5,1.4,1.3,1.2,1.1,1,0.9,0.8,0.7,0.6,0.5,0.4,0.4,0.2
101,PPEManf,3.8,3.6,3.3,2.9,2.5,2.3,2.2,2.1,1.9,1.9,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1,0.8,0.8,0.8,0.7,0.6,0.6
102,PPEWhol,4.3,4,3.7,3.2,2.8,2.4,2.2,2,1.9,1.8,1.8,1.6,1.6,1.5,1.4,1.3,1.1,1,0.9,0.8,0.7,0.6,0.6,0.5,0.4,0.3
103,PPEReta,4.1,3.8,3.4,2.9,2.6,2.2,1.9,1.8,1.6,1.5,1.6,1.5,1.4,1.3,1.2,1.1,1,0.9,0.8,0.7,0.5,0.5,0.4,0.2,0.1,0
104,PPETran,4.2,4,3.7,3.2,2.7,2.4,2.2,2,1.8,1.8,1.8,1.7,1.6,1.5,1.3,1.3,1.2,1.1,1,0.9,0.8,0.7,0.7,0.6,0.6,0.5
105,PPEInfo,4.8,4.5,4.4,3.9,3.5,3,2.8,2.6,2.4,2.2,2.2,2.1,2,1.9,1.7,1.6,1.4,1.3,1.2,1.1,0.8,0.8,0.7,0.6,0.5,0.5
106,PPEFina,5.7,5.3,4.9,4.4,4,3.5,3.2,2.9,2.7,2.6,2.6,2.4,2.3,2.2,2.1,2,1.8,1.7,1.6,1.4,1.2,1.2,1,0.9,0.7,0.7
107,PPEReal,5.1,4.8,4.4,3.9,3.4,2.9,2.6,2.4,2.3,2.1,2.1,2,1.9,1.8,1.8,1.6,1.5,1.4,1.3,1.2,1,1,0.9,0.7,0.6,0.6
108,PPEProf,5.4,5.1,4.7,4.3,3.8,3.3,3,2.7,2.5,2.4,2.4,2.2,2.1,2,1.9,1.8,1.6,1.5,1.4,1.3,1,1,0.9,0.7,0.7,0.6
109,PPEAdmi,4.8,4.4,4.1,3.6,3.1,2.8,2.4,2.2,2.1,1.9,2,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,0.9,0.9,0.8,0.6,0.5,0.4
110,PPEHcare,4.6,4.3,3.9,3.6,3.4,2.9,2.5,2.3,2.1,1.9,1.9,1.8,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1,0.8,0.7,0.6,0.4,0.3,0.1
111,PPEArts,4.7,4.2,4,3.5,3.2,2.7,2.4,2.2,2,1.9,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.1,1,0.9,0.8,0.6,0.6,0.4,0.3,0.1
112,PPEAcco,4.5,4.2,3.8,3.3,3,2.5,2.1,2,1.8,1.7,1.8,1.6,1.6,1.4,1.3,1.3,1.1,1,0.9,0.8,0.7,0.6,0.5,0.3,0.3,0.2
113,PPEOserv,4,3.6,3.4,2.8,2.5,2.2,1.9,1.7,1.5,1.4,1.4,1.3,1.2,1.1,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.3,0.1,0.1,0
114,NPE,-1.7,-1.4,-1.2,-1.3,-1.6,-1.7,-1.4,-1,-0.6,-0.2,0.4,0.3,0.3,0.3,0.2,0.1,-0.1,-0.2,-0.3,-0.4,-0.6,-0.8,-0.9,-1.1,-1.3,-1.8
115,NPEMen,-0.5,-0.1,0,-0.5,-1.4,-1.6,-1.6,-1.3,-1.1,-0.8,-0.4,-0.5,-0.7,-0.9,-1,-1.2,-1.3,-1.4,-1.4,-1.4,-1.6,-1.7,-1.7,-1.8,-2,-2.7
116,NPEWomen,-2.4,-2.3,-2,-1.9,-1.8,-1.7,-1.3,-0.8,-0.2,0.3,0.9,0.9,1,0.9,0.9,0.8,0.6,0.5,0.3,0.2,-0.1,-0.2,-0.4,-0.7,-0.9,-1.3
117,NPEMarr,-2.5,-2.4,-2.3,-2.2,-2.2,-2,-1.6,-1,-0.4,0.1,0.7,0.7,0.7,0.7,0.6,0.5,0.3,0.2,0,-0.1,-0.4,-0.6,-0.8,-1.1,-1.3,-1.8
118,NPENMarr,-0.6,-0.1,0.2,-0.2,-1,-1.3,-1.3,-1.1,-0.8,-0.5,0,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.8,-0.8,-0.9,-1,-1.1,-1.2,-1.3,-1.4,-1.7
119,NPEColl,-1.1,-0.9,-0.7,-0.7,-0.8,-0.8,-0.5,-0.1,0.4,0.9,1.5,1.5,1.5,1.5,1.4,1.3,1.1,0.9,0.8,0.6,0.4,0.2,0,-0.3,-0.5,-1.1
120,NPENColl,-2.2,-1.9,-1.6,-1.9,-2.4,-2.3,-2.1,-1.8,-1.4,-1.1,-0.5,-0.6,-0.6,-0.7,-0.7,-0.8,-1,-1.1,-1.2,-1.2,-1.4,-1.5,-1.5,-1.7,-1.8,-2.3
121,NPECogn,-0.6,-0.2,-0.1,-0.4,-1,-1.2,-1.1,-0.8,-0.5,-0.1,0.3,0.3,0.2,0.1,0,-0.2,-0.3,-0.4,-0.6,-0.6,-0.9,-1,-1.2,-1.4,-1.6,-2.2
122,NPENCogn,-2.6,-2.4,-2.1,-2.1,-2.2,-2,-1.7,-1.2,-0.7,-0.2,0.4,0.4,0.4,0.4,0.4,0.3,0.1,0,-0.2,-0.2,-0.5,-0.6,-0.8,-1,-1.1,-1.5
123,NPEInte,-0.9,-0.8,-0.6,-0.6,-0.8,-0.9,-0.6,-0.2,0.3,0.7,1.3,1.3,1.2,1.2,1.1,1,0.8,0.7,0.5,0.4,0.1,0,-0.2,-0.5,-0.7,-1.3
124,NPENInte,-2.6,-2.1,-1.9,-2.1,-2.5,-2.4,-2.2,-1.9,-1.5,-1.2,-0.6,-0.6,-0.7,-0.7,-0.8,-0.9,-1.1,-1.2,-1.3,-1.3,-1.5,-1.6,-1.7,-1.8,-1.9,-2.4
125,NPEManu,-1.2,-0.8,-0.6,-1,-1.8,-1.8,-1.7,-1.4,-1.2,-0.8,-0.3,-0.4,-0.5,-0.6,-0.7,-0.8,-0.9,-1,-1.1,-1.2,-1.4,-1.5,-1.5,-1.7,-1.8,-2.5
126,NPENManu,-2,-1.8,-1.5,-1.5,-1.5,-1.5,-1.2,-0.7,-0.2,0.3,0.8,0.8,0.8,0.8,0.8,0.6,0.5,0.3,0.2,0.1,-0.2,-0.3,-0.5,-0.8,-1,-1.5
